127,106,242,178,1.000000
122,106,237,178,0.978269
117,106,232,178,0.946693
112,106,227,178,0.967369
109,106,224,178,0.976967
104,104,219,176,0.968551
100,104,215,176,0.956734
95,103,210,175,0.957879
91,104,206,176,0.964692
86,104,201,176,0.945538
81,103,196,175,0.818348
77,103,192,175,0.745991
72,102,187,174,0.730910
67,102,182,174,0.765540
61,100,176,172,0.839229
56,100,171,172,0.793859
51,99,166,171,0.786483
45,99,160,171,0.779560
39,99,154,171,0.727777
34,99,149,171,0.653835
29,99,144,171,0.621162
24,98,139,170,0.644788
17,99,132,171,0.616523
11,98,125,170,0.593569
5,99,119,171,0.614557
-1,100,113,172,0.581862
-6,101,108,173,0.597401
-11,102,103,174,0.669696
-18,103,96,175,0.592299
-24,105,90,177,0.612371
-32,105,83,177,0.679051
-36,107,78,179,0.661642
-42,108,72,180,0.633186
-49,109,65,181,0.571975
-53,110,61,182,0.566381
-55,111,59,183,0.571197
-54,112,59,184,0.596054
-56,112,57,184,0.587956
-56,112,57,184,0.590386
-56,112,57,184,0.589502
-56,112,57,184,0.585340
-56,111,59,184,0.589251
-54,109,62,183,0.595367
-53,108,63,182,0.595136
-51,107,65,181,0.604073
-49,106,68,180,0.595097
-46,105,71,179,0.616238
-44,103,74,177,0.625533
-41,103,77,177,0.640502
-38,101,80,175,0.643418
-36,101,83,176,0.617747
-34,99,85,174,0.631933
-31,98,88,173,0.626501
-28,97,91,172,0.646476
-26,95,93,170,0.649745
-19,94,100,169,0.705433
-14,92,105,167,0.735435
-5,90,113,164,0.797864
1,90,118,164,0.895964
8,89,125,163,0.760929
15,88,132,161,0.771122
20,87,136,160,0.785212
27,87,142,160,0.786213
33,87,148,160,0.755793
37,87,152,160,0.724620
43,88,158,161,0.701963
47,89,162,162,0.674455
52,89,167,162,0.661900
51,91,166,164,0.688401
51,92,166,165,0.706030
51,93,166,166,0.697759
51,94,166,167,0.707654
53,95,168,168,0.746461
53,96,168,169,0.701758
52,98,167,171,0.735571
51,99,166,172,0.786627
51,100,166,173,0.838080
52,101,167,174,0.800464
53,102,168,175,0.812294
53,101,168,174,0.747411
52,103,167,176,0.728363
51,104,166,177,0.794381
50,105,165,178,0.790363
50,107,165,180,0.788496
49,107,165,180,0.755089
51,107,167,180,0.777398
50,109,165,182,0.759673
50,109,165,182,0.768326
50,111,165,184,0.741262
49,112,164,185,0.713752
47,113,162,186,0.709048
47,114,162,187,0.683423
45,115,160,188,0.638585
46,117,161,190,0.589999
45,117,159,190,0.596168
47,119,161,192,0.583595
46,119,160,192,0.606806
49,121,162,194,0.580022
50,122,163,195,0.565033
53,123,166,196,0.527626
54,124,167,197,0.517866
56,124,170,197,0.575996
57,126,171,199,0.561506
58,126,172,199,0.521759
60,127,174,200,0.533806
64,129,178,202,0.523448
68,129,182,202,0.519783
73,131,187,204,0.529195
74,132,188,205,0.483197
80,132,194,205,0.462811
83,134,197,207,0.494963
89,134,203,207,0.504193
94,136,207,209,0.486251
97,136,210,209,0.448029
102,137,214,210,0.477733
106,139,219,212,0.459056
109,138,222,211,0.454323
115,140,229,213,0.491178
119,140,233,213,0.551042
123,141,237,214,0.589044
128,141,242,214,0.618749
131,142,245,215,0.628874
135,142,249,215,0.638677
138,143,252,216,0.640809
143,144,257,217,0.624773
146,144,260,217,0.635314
151,145,265,218,0.621526
155,145,269,218,0.638737
160,147,274,220,0.621475
165,148,279,221,0.589577
168,149,282,222,0.539544
174,149,288,222,0.590282
176,150,291,223,0.586702
179,151,294,224,0.591651
183,152,298,225,0.561175
186,154,301,227,0.523959
190,154,305,227,0.471302
195,155,310,228,0.535447
196,156,311,229,0.526612
198,156,313,229,0.538125
197,159,311,232,0.536777
198,157,312,230,0.494358
200,159,314,232,0.505760
201,160,315,233,0.471910
204,160,318,233,0.503932
204,162,318,235,0.478052
206,162,320,235,0.479645
207,163,321,236,0.478927
206,164,320,237,0.468667
204,165,318,238,0.474680
203,167,317,240,0.597151
202,167,316,240,0.597476
201,169,315,242,0.590055
200,170,314,243,0.581972
200,172,313,244,0.592759
199,173,313,245,0.558803
199,175,313,247,0.545591
198,177,311,249,0.487695
198,178,311,250,0.489543
197,179,310,251,0.461017
197,180,310,252,0.490939
196,182,309,254,0.497752
195,183,308,255,0.508100
195,184,308,256,0.499821
193,185,307,257,0.523480
193,185,308,257,0.498237
192,185,307,257,0.517536
192,185,307,257,0.518859
190,184,306,257,0.532864
190,185,305,
